relation_id,source_a,source_b,relation_type,warrant,status,note
R033,ᛋ → ᛈ → castings → game → poetry → code → dialogue → chapter → alphabet → code → historiography → navigation → translations → stanzas,Sitting to Battle chapter,cross-stream navigation braid,site previous-next links plus category order,established,seventeen category pages are continuous from Sigel glyph through Peorþ stanza
R034,Peorþ,Sigel,hall/sea and stillness/transit pressure,site chapter and translation pages,strong working relation,do not normalize as simple antonymy; gathering and homeward navigation are mutually dependent
R035,Peorþ central omission,L-a omitted letters,omission correspondence,page observations,active working inference,preserve both absences without filling or equating them
R036,Sigel guidance,Always solar recurrence,valuation reversal,site pages,established as chapter composition,the sun appears as needed outer light and as monstrous compulsory return
R037,How to Play the Game,X≠Y≠Z: Settlers,rule/embodiment and breakdown,site pages,established as chapter composition,peaceful battle is tested by accusation cheating rage and multiple loss
R038,P is for Poetry,S is for Saxon,transmission and situated resistance,site pages,strong working relation,voice and research carry the chapter beyond formal game symbolism
R039,Eolhx ten-page Middle path,Sitting to Battle seventeen-page braid,adjacent-chapter turn comparison,site navigation,established negative result,the unpaired Middle sequence does not repeat as the paired-chapter enclosure
R040,Translating Sigel → Stanza 16 Sun → Stanza 14 Game → Eoh glyph,Sitting to Battle / Trust boundary,cross-chapter navigation seam,site category order plus adjacent-link evidence,established locally,the two Sitting stanzas close the earlier open boundary and enter Trust
R041,ᛇ → ᛏ → castings → night travel → eorl → code → Mars → chapter → kings → dialogue → Thincso → poison → translations → stanzas,Trust chapter,cross-stream navigation braid,site previous-next links plus category order,established,seventeen category pages are continuous from Eoh glyph through Tiw stanza
R042,Stanza 17 Tiw,Sigel glyph,cross-chapter navigation seam,site adjacent-page link evidence,established locally,Trust exits into Sitting to Battle
R043,Trust seventeen-page braid,Sitting to Battle seventeen-page braid,interlocking page circuit,site navigation,established locally,the two seams form a 34-page return circuit
R044,Eoh rooted support,Tiw faithful journey,reflected-pair pressure,site stanzas chapter page and castings,strong working relation,both forms of trust remain in motion across different scales
R045,tree word field,truth trust and fidelity,lexical/compositional pressure,site Trust pages,active site-authored relation,do not turn every tree into a generic truth symbol; retain the material yew
R046,paired glyphs → paired castings → mixed interior → paired translations → paired stanzas,paired chapter braid,provisional recurrent envelope,two reconstructed adjacent chapter paths,working hypothesis,test The Future and revise if it fails
R047,torchlight immediate ground,star-guided horizon,attention/orientation tradeoff,How to Travel by Night,established as page composition,local clarity can diminish distant sight
R048,Tiw Ing Odin heaven king and sacred trees,Kings,theological plurality,site-authored composition,recorded without reduction,divine names are not replaced with astronomical or metaphorical substitutes
R049,surviving inscription and legal terms,desired dot-connections,evidence/speculation boundary,T is for Thincso,established as page method,the page both speculates and warns against disguising speculation as fact
R050,yew shelter and support,yew toxicity and death,material ambivalence,Trust Translating Eoh and How to Make Poison,strong working relation,do not sanitize the chapter into reassurance
R051,ᛄ → ᛒ → castings → calculation → alphabet/code/divination/dialogue → instructions → translations → stanzas,The Future chapter,cross-stream navigation braid,site category order plus previous-next evidence,established locally,seventeen category pages are continuous from Ger glyph through Ger stanza
R052,three paired chapter braids,glyph-casting-interior-translation-stanza envelope,recurrent chapter grammar candidate,comparative corpus evidence,supported not universal,partner order and semantic pressure remain variable
R053,Ger bright fruit,Beorc bloomless bearing,reflected-pair pressure,stanzas translations and castings,strong working relation,futurity appears through fruition that does not reduce to desired outcome or biological offspring
R054,future destination,present hope fear memory and action,temporal relocation,The Future pages,established as chapter composition,the future remains active but is not confined to a remote linear position
R055,twigs cards pendulum and changing hexagrams,divinatory plurality,chapter interior,site-authored composition,established as chapter composition,preserve practice-specific voices and uncertainty rather than merging methods
R056,treow truth,getreow fidelity and togetherness,lexical hinge across Trust and The Future,Ge is for Prefix plus Trust pages,active site-authored relation,check philology before treating the relation as historical fact
R057,calendar recurrence,year's mind and remembered dead,memorial tension,Y is for Year's Mind,strong working relation,the returning year does not contain grief or make the dead absent from memory
R058,Stanza 19 War Horse,Ger glyph,cross-chapter navigation seam,site Ger glyph previous link,established locally,War and Peace enters The Future; Year-side seam was later resolved into Trust
R059,Stanza 12 Year,Eoh glyph,cross-chapter navigation seam,site Year next link,established locally,The Future enters Trust and not War and Peace
R060,Eh glyph → Is glyph → castings → horse listening → navigation → code/instruction/chapter/translation/dialogue/alphabet/technology → translations → stanzas,War and Peace chapter,cross-stream navigation braid,site category order plus previous-next evidence,established,seventeen category pages are continuous from Eh glyph through Eh stanza
R061,four paired chapter braids,glyph-casting-interior-translation-stanza envelope,recurrent chapter grammar candidate,comparative corpus evidence,supported not universal,partner order and semantic pressure remain variable
R062,Stanza 10 Need,Eh glyph,cross-chapter navigation seam,site Eh glyph previous link,established locally,Fate enters War and Peace
R063,War and Peace,The Future,one-way cross-chapter seam,War Horse to Ger adjacent-page evidence,established locally,no reciprocal return from Year
R064,War and Peace → The Future → Trust ↔ Sitting to Battle,chapter boundary topology,asymmetric chain feeding local circuit,resolved adjacent-page links,strongly supported,do not generalize unresolved chapters into circuits
R065,war horse mobility,ice arrest,reflected-pair pressure,War and Peace stanzas castings and chapter page,strong working relation,motion and stillness do not exhaust the pair
R066,armed gathering and speech,listening augury and abbreviation,communication field,Eh casting Horse Listening War Horse stanza E is for et,strong working relation,war and peace are organized through attention and words as well as force
R067,winter peace,Y's exclusion and Joyce-inflected Friþ,costly peace field,War and Peace interior,strong working relation,peace is not sanitized into comfort or innocence
R068,Mann glyph → Nyd glyph → castings → instruction/code/letter/translation/chapter/abbreviation/code/verse/instruction → translations → stanzas,Fate chapter,cross-stream navigation braid,site category order plus previous-next evidence,established,seventeen category pages are continuous from Mann glyph through Nyd stanza
R069,five paired chapter braids,glyph-casting-interior-translation-stanza envelope,recurrent chapter grammar candidate,comparative corpus evidence,supported not universal,partner order and semantic pressure remain variable
R070,Stanza 21 Sea,Mann glyph,cross-chapter navigation seam,site Mann glyph previous link,established locally,The Water Cycle enters Fate
R071,The Water Cycle → Fate → War and Peace → The Future → Trust ↔ Sitting to Battle,chapter boundary topology,asymmetric chain feeding local circuit,resolved adjacent-page links,strongly supported,do not assume unresolved outer chapters continue the chain
R072,Mann mirrored joy,Nyd constricted heart,reflected-pair pressure,glyphs castings stanzas and chapter page,strong working relation,company and need remain internally mixed rather than simple opposites
R073,omens and gods,human discernment and action,agency field,Fate chapter and Need pages,established as chapter composition,do not reduce Fate to either predestination or personal choice
R074,Feoh Mann Ear and Nyd,lexical and material cross-pair relation,Life and Death,site-authored comparative reading,established as site relation,reflection remains intact while distribution and death cross it
R075,ꝥ and the two Fate code pages,compression under constraint,chapter interior,strong working relation,recorded,faithful abbreviation is distinct from opaque code
R076,Lagu glyph → Hægl glyph → castings → instruction/alphabet/dialogue/translation/chapter/code/verse/meta/instruction → translations → stanzas,The Water Cycle chapter,cross-stream navigation braid,site category order plus adjacent-page evidence,established,seventeen category pages are continuous from Lagu glyph through Lagu stanza
R077,six paired chapter braids,glyph-casting-interior-translation-stanza envelope,recurrent chapter grammar candidate,comparative corpus evidence,supported not universal,partner order and semantic pressure remain variable
R078,Stanza 8 Joy,Lagu glyph,cross-chapter navigation seam,Stanza 8 next-page link,established locally,Prosperity enters The Water Cycle
R079,Prosperity → The Water Cycle → Fate → War and Peace → The Future → Trust ↔ Sitting to Battle,chapter boundary topology,asymmetric chain feeding local circuit,resolved adjacent-page links,strongly supported,do not assume unresolved outer chapters continue the chain
R080,Hægl hail and melt,Lagu duration and sea-terror,reflected-pair pressure,Water Cycle stanzas castings and chapter page,strong working relation,transformation does not erase danger or make calm automatic consolation
R081,Hægl,Nyd,adjacent stanza acceleration,Translating Hægl and Translating Nyd,established as site reading,adjacency and causality remain distinct from reflected partnerships
R082,Mann → Lagu → Ing → Eþel,tempo chain across chapters,cross-chapter audible sequence,Translating Eþel and I Sing This Wretched Song,established as site reading,Lagu participates in a consecutive audible relation beyond reflection
R083,breath and friction,song and lateral resonance,letter-sound field,Hægl and Lagu glyph pages,strong working relation,weather is braided with utterance and tempo
R084,Jonahic divine pursuit,storm drowning fire-water grief and calm,theological-weather field,Water Cycle interior,strong working relation,recurrence does not neutralize judgement or mortality
R085,Soon After it Becomes Water,chapter melt pattern,decoded Rune Code pressure,code page plus full-resolution coordinate transcription,recorded after mechanical solution,structural fit confirms but is not a decoding warrant
R086,forward writing and backward linking,mirror within mirror and multiple streams,site-authored compositional account,L is for Letters for Titles,established as site statement,reconstructed braids support but do not exhaust it
R087,breath and disappearing H,Hwat and temporally conditional is,phonetic-ontological relation,Hægl glyph and H is for Hwat is it,strong working relation,do not reduce distinct linguistic forms to one doctrine of absence
R088,fire on flowing water,melting into air,phase-crossing literary pressure,A Horrible Wonder and Soon After it Becomes Water,recorded with the latter's page-local solution,monstrous translation and the decoded SO LET US MELT inscription remain distinct
R089,speaking God,deity present on land and sea,theological agency,H is for Hægl and How to Go Overboard,established as site composition,receive divine speech before psychological or purely literary translation
"R090","Ing departure and bounty","Wyn fortified joy","reflected-pair pressure","Prosperity glyphs castings translations and stanzas","strong working relation","abundance circulates and is bounded rather than resting as possession"
"R091","Stanza 23 Home","Ing glyph","cross-chapter navigation seam","Ing glyph previous-page link","established locally","You Have Nothing Else enters Prosperity"
"R092","You Have Nothing Else → Prosperity → The Water Cycle → Fate → War and Peace → The Future → Trust ↔ Sitting to Battle","chapter boundary topology","asymmetric chain feeding local circuit","resolved adjacent-page links","strongly supported","do not assume unresolved outer chapters continue the chain"
"R093","Gifu glyph","Ing glyph construction","graphic and gift relation","Ing glyph page","established as site composition","transformed gift crosses the reflected-pair boundary without replacing it"
"R094","Wyn fortress and Kafka burrow","Eþel home and assembly","enclosure and home relation","Translating Wyn plus You Have Nothing Else pages","strong working relation","security home and exclusion remain distinguishable"
"R095","Scyld ship burial goods","Tit/les burial-goods gate","material transmission relation","Ing is for Scylding and orientation records","strong working relation","body ship weapons treasure lineage words and memory remain distinct"
"R096","X≠Y≠Z No Z","X≠Y≠Z Z's Lament","cross-chapter narrative continuation","two X Y Z pages","strongly supported","banishing account and exiled voice cross navigation direction"
"R097","Mann → Lagu → Ing → Eþel","tempo chain across chapters","cross-chapter audible sequence","Translating Eþel and I Sing This Wretched Song","established as site reading","Ing participates beyond its reflection with Wyn"
"R098","fortress wall and burrow","joy anxiety exclusion and vigilance","enclosure field","Rune Casting Wyn All in All Translating Wyn and No Z","strong working relation","do not reduce walls to either pure safety or pure oppression"
"R099","Ing deity and benefactor","bounty departure work and communal naming","divine-economic transmission","Ing pages across the chapter","strong working relation","receive deity gift and memory before abstraction"
"R100","P versus ƿyn","apparent question-mark form","graphic recognition gate","W is for Ƿ and orientation records","established","preserve P ƿyn W and ? as distinct"
"R101","Gifu glyph → Eþel glyph → castings → instruction/alphabet/code/translation/chapter/dialogue/riddles/instruction → translations → stanzas","You Have Nothing Else chapter","cross-stream navigation braid","live category order plus archive and adjacent-page evidence","established","seventeen category pages are continuous from Gifu glyph through Home stanza"
"R102","nine paired chapter braids","glyph-casting-interior-translation-stanza envelope","recurrent chapter grammar candidate","comparative corpus evidence","supported not universal","partner order and semantic pressure remain variable"
"R103","Stanza 6 Torch","Gifu glyph","cross-chapter navigation seam","direct Stanza 6 next-page link","established locally; corrects earlier mixed-evidence Day inference","Light enters You Have Nothing Else"
"R104","By Land and By Sea → Light → You Have Nothing Else → Prosperity → The Water Cycle → Fate → War and Peace → The Future → Trust ↔ Sitting to Battle","chapter boundary topology","asymmetric chain feeding local circuit","resolved direct adjacent-page links","strongly supported","do not assume unresolved outer chapters continue the chain"
"R105","Gifu crossed lines","Eþel roofed Gifu","graphic pair relation","two glyph pages","established as site composition","gift becomes housed without becoming simple possession"
"R106","gift mercy and sustenance","home justice assembly and inspiration","reflected-pair pressure","castings translations and stanzas","strong working relation","exile discloses dependence without resolving return"
"R107","X≠Y≠Z No Z","X≠Y≠Z Z's Lament","cross-chapter narrative continuation","two X Y Z pages","strongly supported","the excluded voice persists against local navigation direction"
"R108","Mann → Lagu → Ing → Eþel","I Sing This Wretched Song and Translating Eþel","tempo and exile sequence","site-authored cross-rune relation","established as site reading","reflection adjacency navigation and tempo remain distinct"
"R109","Gift Riddle","Œdipean Riddle","paired unresolved riddle field","category order and page composition","recorded without solution","non-depletion reciprocal birth and enclosure do not warrant guessed answers"
"R110","family banishment","alphabetic banishment","kinship and letter-family relation","How to Banish Family","established as satirical composition","rejected members may persist in memory language and relation"
"R111","human duration","angelic phenomenal flux","temporal communication field","How to Summon an Angel","recorded as site-authored theology","do not convert speculative instruction into certified cosmology"
"R112","Stanza 24 universal light","Gifu aid to the exile","outer-to-inner ethical seam","Day stanza and Gift chapter pages","strong working relation","light and gift address fortunate and wretched without erasing unequal condition"
"R113","Home stanza","Ing glyph derived from Gifu","home-gift-prosperity seam","Stanza 23 Home and Ing glyph","established","prosperity receives housed gift as departure lineage and transformed bounty"
"R114","Stanza 25 Oak","Dæg glyph","cross-chapter navigation seam","direct Dæg previous-page link","established locally","By Land and By Sea enters Light"
"R115","Dæg glyph → Cen glyph → castings → instruction/alphabet/dialogue/code/chapter/essay/instructions/alphabet/instruction → translations → stanzas","Light chapter","cross-stream navigation braid","live category order and direct adjacent-page links","established","seventeen category pages are continuous from Dæg glyph through Torch stanza"
"R116","Day universal illumination","Torch elite interior illumination","reflected-pair pressure","Light translations and stanzas","strong working relation","universal exposure and equal material security remain distinct"
"R117","C is for Computer","Dæg casting and Or are you both?","messenger-message relation","three Light pages","established as site composition","screen daylight and luminary distribute the same question across technological divinatory and physical registers"
"R118","X and Y contraries","Z and metaphor","tension without binary victory","Contraries and Negations","established as site composition","do not reduce Light to either side or treat Z as synthesis that erases difference"
"R119","Cotton Library fire","Rune Poem witness loss and corpus transmission","material preservation-risk relation","How to Burn the Cotton Library plus source records","strong working relation","house custody architecture fire copying and loss remain distinct"
"R120","Stanza 24 Day","Gifu gift field","thematic cross-chapter relation; not navigation","Day translation and Gift pages","supported","fortunate and wretched remain addressed across the boundary without displacing the Torch-to-Gifu link"
"R121","Ac glyph → Rad glyph → castings → instruction/alphabet/code/dialogue/chapter/instruction/essay/riddle/instruction → translations → stanzas","By Land and By Sea chapter","cross-stream navigation braid","live category order and direct adjacent-page links","established","seventeen category pages are continuous from Ac glyph through Oak stanza"
"R122","ten paired chapter braids","glyph-casting-interior-translation-stanza envelope","recurrent chapter grammar candidate","comparative corpus evidence","supported not universal","partner order and semantic pressure remain variable"
"R123","Stanza 4 God","Ac glyph","cross-chapter navigation seam","direct Ac previous-page link","established locally","Axis Mundi enters By Land and By Sea"
"R124","Axis Mundi → By Land and By Sea → Light → You Have Nothing Else → Prosperity → The Water Cycle → Fate → War and Peace → The Future → Trust ↔ Sitting to Battle","chapter boundary topology","asymmetric chain feeding local circuit","resolved direct adjacent-page links","strongly supported","do not assume unresolved outer chapters continue the chain"
"R125","Os → Ac → Æsc","Ac glyph construction","vowel tree and graphic derivation across chapters","Ac glyph page plus pair matrix","established as site composition","sound ancestry alphabetic adjacency and reflection remain distinct"
"R126","Rad ride and road","Ac oak boat and truth","reflected-pair pressure","glyphs castings translations and stanzas","strong working relation","mobility depends on infrastructure body material provision and fidelity"
"R127","The Way","X≠Y≠Z Are we there yet","path line making and destination relation","adjacent code and dialogue pages","established as chapter composition","the dialogue supplied no letters; use the 0.19.0 coordinate transcription for the plate"
"R128","A is for Golem Aleph","C is for Computer","adjacent-chapter artificial-creation and mediation field","two Alphabet Book pages","active comparative relation","do not convert local explicit A.I. evidence into a total key for the site"
"R129","oak boat and treowe","oak-gall ink and Cotton Library","material transmission chain","Ac translation ink instruction and Light archive page","strong working relation","vessel inscription custody and loss remain distinct transformations"
"R130","R is for Riddle","Translating Ac","undisclosed and disclosed riddle modes","two chapter pages","established difference","recognizable external answers do not substitute for page disclosure"
"R131","Ac → Rad / Rad → Ac / Ac → Rad / Rad → Ac","glyph casting translation and stanza orders","alternating partner-order mutation","direct chapter navigation","established locally","successive paired streams reverse order throughout the chapter"
"R132","thirty-six retrochecks four prospective direct-walk tests and four same-source comparisons","tag-archive position pairs","archive/navigation reversal","braid order audit and stream registers","44 comparisons pass under classified acquisition bases","publication chronology remains unresolvable by current means"
"R133","2 + 2 + 9 + 2 + 2 paired braid","position-9 eponymous page","seventeen-page fold and hinge","eleven completed paired chapter paths","established across paired sample","Duets tag is directly verified only 3 of 11"
"R134","twenty-nine-rune Eolhx fold","seventeen-page eponymous fold","scale correspondence","pair matrix and chapter comparison","strong working relation within tested pairs","Middle is a known exception and three pairs remain untested"
"R135","Trust-Sitting reciprocal navigation","forward seam plus retrospective link","alternative temporal reading of verified circuit","archive reversal without post dates","candidate only","edge existence is verified while temporal kinds remain open"
"R136","Axis Mundi predicted intra-chapter braid","archive reversal and ninth-page eponymous hinge","Prediction A","axis_mundi_prediction.md and axis_mundi_path.md","confirmed","direct-link acquisition preceded category cross-check"
"R137","Stanza 27 Bow","Os glyph","Prediction B outer-chain contiguity","axis_mundi_prediction.md and Os capture","confirmed","result remains independent of Prediction A"
"R138","Os → Æsc / Os → Æsc / Os → Æsc / Æsc → Os","glyph casting translation and stanza orders","Axis Mundi partner-order pattern","direct chapter navigation","established locally","the stanza pair reverses while the first three paired streams retain order"
"R139","Speech Bearer position 11","missing alphabet asset 114","prospective sequence failure","served-source media inspection","established","position 12 resumes at 112 so the original model fails and a position-indexed successor survives"
"R140","Aesc fold from first against last","Axis Mundi count fourth from each end","same-source structural formulations","direct page captures","established as related formulations","not independent corroboration"
"R141","Axis Mundi eponymous fixed point","The Middle and How to See the Pair in the Middle","cross-structure links","direct internal links","established","do not treat the Middle as another reflected braid"
"R142","Shh Joyce caption","Truth Joyce intertext","literary recurrence","direct page captures","relation established; textual identity open","separate evidence objects not duplicates or mutual corroboration"
"R143","O is for Apostrophe tree address","Speech Bearer speaking-tree dispute","speech-turn relation","direct page captures","working relation","the later page reverses who speaks for whom without supplying an explicit key"
"R144","Thorn glyph → Yr glyph → castings → instruction/alphabet/verse/instruction/chapter/code/code/alphabet/instruction → translations → stanzas","They'll Cut You chapter","cross-stream navigation braid","direct previous/next walk","established","seventeen category pages are continuous from Thorn glyph through Bow stanza"
"R145","Thorn wound and thegn labor","Yr display horse bow and remembered worth","reflected-pair pressure","glyphs castings translations stanzas and eponym","strong working relation","danger beauty hierarchy labor war and fame remain distinct"
"R146","Stanza 2 Aurochs","Thorn glyph","cross-chapter navigation seam","direct Thorn previous link","established locally","Moody Joy enters They'll Cut You"
"R147","Moody Joy → They'll Cut You → Axis Mundi → By Land and By Sea → Light → You Have Nothing Else → Prosperity → The Water Cycle → Fate → War and Peace → The Future → Trust ↔ Sitting to Battle","chapter boundary topology","asymmetric chain feeding local circuit","resolved direct adjacent-page links","strongly supported","Everything is Temporary remains outside the verified chain pending acquisition"
"R148","Yr glyph","The Middle How to See the Pair in the Middle and Everything is Temporary","cross-structure internal links","direct page capture","established","linked relation does not imply category-path membership"
"R149","Arrows","For Anybody Who Rests With Them","adjacent Rune Code field","body-textless pages shared Dante chapter and independent coordinate transcriptions","resolved local relation","both plates are decoded from their own carriers; do not merge their plaintexts"
"R150","X Y and Z inequalities","Efimov dolls and Borromean ring","three-body relation beyond pair","X/Y/Z verse","established as page composition","do not turn the verse into a total solution of the reflected pair"
"R151","UI is for User Interface","Speech Bearer and L is for Letters for Titles","interface speech and book relation","direct internal links and site specification","established","presentation is compositional without making every theme asset a chapter key"
"R152","expected 168-to-136 position-indexed assets","missing 162 152 136 and duplicated served 142","displayed-media irregularity","served source inspection","established","do not repair filenames or infer chronology"
"R153","Thorn → Yr / Yr → Thorn / Yr → Thorn / Thorn → Yr","glyph casting translation and stanza orders","They'll Cut You partner-order pattern","direct chapter navigation","established locally","successive streams reverse then retain then reverse order"
"R154","They'll Cut You position-9 eponym","Duets tag","fold and fixed-point relation","direct page tag and navigation position","established","fourth direct tag verification among twelve completed paired braids"
"R155","Ur glyph → Ior glyph → castings → eleven-page interior → translations → stanzas","Moody Joy chapter","cross-stream navigation braid","direct previous/next walk","established","nineteen category pages are continuous from Ur glyph through Aurochs stanza"
"R156","2 + 2 + 9 + 2 + 2 prior envelope","2 + 2 + 11 + 2 + 2 Moody Joy partition","structural falsification","thirteen chapter paths","established","the odd centered enclosure survives while invariant interior length fails"
"R157","Ur → Ior / Ur → Ior / Ur → Ior / Ior → Ur","glyph casting translation and stanza orders","Moody Joy partner-order pattern","direct chapter navigation","established locally","the stanza pair alone reverses"
"R158","Moody Joy position-10 eponym","Duets tag","nineteen-page fold and fixed point","direct page tag and navigation position","established","fifth direct tag verification among thirteen completed paired braids"
"R159","Stanza 29 The Grave","Ur glyph","cross-chapter navigation seam","direct Ur previous link","established locally","Everything is Temporary enters Moody Joy"
"R160","Ior-Ear transposition","Feoh-Ear outer pairing","authorial structural rationale","Moody Joy eponym","recorded as site-authored","does not independently establish historical rune order"
"R161","expected 206-to-170 position-indexed assets","missing 200 192 182 180 with unnumbered second image at position 13","displayed-media irregularity","served source inspection","established","do not repair filenames or infer chronology"
"R162","aurochs danger extinction and wilderness","beaver joy value and dwelling","reflected-pair pressure","glyphs castings translations stanzas and eponym","strong working relation","overhunting castoreum history and translation prevent a simple binary"
"R163","Wyrd current page","Rune Casting Ur draft and removed Beasts of the Field page","page-slot revision relation","Wyrd authorial account","recorded","site navigation presents a current state over an explicitly unstable compositional history"
"R164","Ear glyph → Feoh glyph → castings → fifteen-page interior → translations → stanzas","Everything is Temporary chapter","cross-stream navigation braid","direct previous/next walk","established","twenty-three category pages are continuous from Ear glyph through Grave stanza"
"R165","nine-page eleven-page and fifteen-page interiors","fourteen reflected-pair chapters","variable centered enclosure","fourteen chapter paths","established","fixed interior length fails while odd interior and central eponym survive"
"R166","Ear → Feoh / Ear → Feoh / Ear → Feoh / Feoh → Ear","glyph casting translation and stanza orders","Everything is Temporary partner-order pattern","direct chapter navigation","established locally","the stanza pair alone reverses"
"R167","Everything is Temporary position-12 eponym","Duets tag","twenty-three-page fold and fixed point","direct page tag and navigation position","established","sixth direct tag verification among fourteen completed paired braids"
"R168","Decode","Ear glyph","incoming navigation seam","direct Ear-glyph previous link","established locally","outer chapter is entered from an uncategorized Decode page"
"R169","Stanza 29 The Grave","Ur glyph","cross-chapter navigation seam","direct navigation","established locally","Everything is Temporary enters Moody Joy"
"R170","expected 252-to-208 position-indexed assets","missing 248 and 220","displayed-media irregularity","served source inspection","established","do not repair filenames or infer chronology"
"R171","Translating Feoh and X≠Y≠Z Rune Casting","Rune Casting tag archive","cross-tag membership versus direct stream identity","archive register and direct walk","established","two crossings do not alter the twenty-nine direct casting count"
"R172","Everything is Temporary → Moody Joy → They'll Cut You → Axis Mundi → By Land and By Sea → Light → You Have Nothing Else → Prosperity → The Water Cycle → Fate → War and Peace → The Future → Trust ↔ Sitting to Battle","chapter boundary topology","complete outer-to-inner asymmetric chain feeding local circuit","resolved direct adjacent-page links","strongly supported","Decode is an incoming nonchapter seam to the outer Ear glyph"
"R173","Io cow beaver swimming and home","IO is for I/O plaintext","literal cross-animal and return relation","79-byte ASCII decode","established locally","do not turn the sentence into a universal thematic key"
"R174","paradise of solitude / balance of selection and exclusion / prison of repetitions and dead ends","labyrinth","three competing models voiced by COW output","bounded deterministic emulation","established locally","the questions resonate with traversal but do not prove chapter structure"
"R175","Nyctographic Square Alphabet","Night Riddle plaintext","writing-in-the-dark system and self-referential reading question","symbol-by-symbol historical-alphabet transcription","established locally","the key remains page-specific"
"R176","261-post calendar folded at Turn","29-stanza chiasm folded at Eolhx","same center-out operation across temporal and runic sequences","Claude full-harvest result and established pair matrix","strongly supported","same form does not erase the different domains or center objects"
"R177","slot 32 question-mark animation","SEE? YOU ARE SLIPPING AWAY","image-as-punctuation in filename run","live source retrieval and exact slot indexing","established","also identifies AS001 as a resized derivative"
"R178","The Way tree-stave plaintext","By Land and By Sea path field","main road level / love of sidetracking","full-resolution coordinate transcription","established locally","do not replace material roads and sea passage with this one maxim"
"R179","Present gift-stave plaintext","You Have Nothing Else chapter title","code repeats eponym through gift objects","full-resolution coordinate transcription","established locally","one page-local identity not a universal chapter rule"
"R180","Arrows coordinate plaintext","Paradiso XVII.27","foreseen arrow arriving more slowly","visible notebook citation and coordinate transcription","established locally","Dante source and mechanism converge on one plate"
