id,title,url,role_or_stream,verification,status_note,supersedes,superseded_by
P019,Rune Casting: Ear,https://lettersfortitles.com/rune-casting-ear/,divination / Ear,search result retrieved 2026-08-22,Outer pair member,,
P020,Rune Casting: Peorth,https://lettersfortitles.com/rune-casting-peorth/,divination / Peorþ,site page retrieved 2026-08-22,Inner pair member,,
P021,Rune Casting: Nyd,https://lettersfortitles.com/rune-casting-nyd/,divination / Nyd,site page retrieved 2026-08-22,Fate chapter,,P102
P022,Rune Casting: Æsc,https://lettersfortitles.com/rune-casting-aesc/,divination / Æsc,direct live page and served-source inspection 2026-08-27,Axis Mundi position 4; capture folder added in 0.14.0,,
P023,Rune Casting: Ur,https://lettersfortitles.com/rune-casting-ur/,divination / Ur,search result retrieved 2026-08-22,Moody Joy chapter,,P237
P024,Rune Casting: Wyn,https://lettersfortitles.com/rune-casting-wyn/,divination / Wyn,search result retrieved 2026-08-22,Prosperity chapter,,P136
P025,Stanza 25: Oak,https://lettersfortitles.com/stanza-25-oak/,rune stanza / Ac,direct live page and adjacent-link evidence retrieved 2026-08-26,Previous Stanza 5 The Ride; next Dæg glyph,,
P026,Stanza 12: Year,https://lettersfortitles.com/stanza-12-year/,rune stanza / Ger,search result retrieved 2026-08-22,The Future chapter,,
P027,Stanza 10: Need,https://lettersfortitles.com/stanza-10-need/,rune stanza / Nyd,search result retrieved 2026-08-22,Fate chapter,,P115
P028,Stanza 9: Hail,https://lettersfortitles.com/hail/,rune stanza / Hægl,search result retrieved 2026-08-22,The Water Cycle chapter,,P131
P029,Stanza 14: The Game,https://lettersfortitles.com/the-game/,rune stanza / Peorþ,site archive and page evidence retrieved 2026-08-24,Previous Stanza 16 Sun; next Eoh glyph,,
P030,Translating Ing,https://lettersfortitles.com/translating-ing/,translation / Ing,site page retrieved 2026-08-22,Prosperity chapter,,P147
P031,Translating Thorn,https://lettersfortitles.com/translating-thorn/,translation / Thorn,direct live page and served-source inspection 2026-08-28,They'll Cut You position 15; compact capture added in 0.15.0,,
P032,How to Talk to God,https://lettersfortitles.com/how-to-talk-to-god/,instruction manual / Os,direct live page and served-source inspection 2026-08-27,Axis Mundi position 13; capture folder added in 0.14.0,,
P033,Wyrd,https://lettersfortitles.com/wyrd/,Old English / Ior,search result retrieved 2026-08-22,Beaver/Ior record,,P242
P034,Byth,https://lettersfortitles.com/byth/,Old English / Thorn,search result retrieved 2026-08-22,Everything is Temporary category despite Thorn relation,,
P035,Sitting to Battle,https://lettersfortitles.com/sitting-to-battle/,chapter orientation,site page retrieved 2026-08-24,Joins beer-hall game and seafaring danger,,
P036,L-a,https://lettersfortitles.com/l-a/,alphabet / omission,site page retrieved 2026-08-24,Four compressed lines preserve omitted letters,,
P037,Battle,https://lettersfortitles.com/battle/,code / chapter bridge,full-resolution transcription completed 2026-08-29,TO THE DEATH from eight game-piece coordinates,,
P038,S is for Saxon,https://lettersfortitles.com/s-is-for-saxon/,alphabet / historiography,site page retrieved 2026-08-24,Rejects racialized homogeneity myth,,
P039,How to Navigate by the Sun,https://lettersfortitles.com/how-to-navigate-by-the-sun/,instruction manual / Sigel,site archive and page evidence retrieved 2026-08-24,Previous S is for Saxon; next Translating Peorð,,
P040,Translating Sigel,https://lettersfortitles.com/translating-sigel/,translation / Sigel,site archive and adjacent-link evidence retrieved 2026-08-24,Previous Translating Peorð; next Stanza 16 Sun,,
P041,Sigel glyph,https://lettersfortitles.com/%E1%9B%8B/,rune glyph / Sigel,site page retrieved 2026-08-24,Previous Stanza 17 Tiw; next Peorþ glyph,,
P042,Peorþ glyph,https://lettersfortitles.com/%E1%9B%88/,rune glyph / Peorþ,site page retrieved 2026-08-24,Previous Sigel glyph; next Rune Casting Sigel,,
P043,Rune Casting: Sigel,https://lettersfortitles.com/rune-casting-sigel/,divination / Sigel,site page evidence retrieved 2026-08-24,Outer light and orientation,,
P044,How to Play the Game,https://lettersfortitles.com/how-to-play-the-game/,instruction manual / Peorþ,site archive evidence retrieved 2026-08-24,Previous Rune Casting Peorþ; next P is for Poetry,,
P045,P is for Poetry,https://lettersfortitles.com/p-is-for-poetry/,alphabet / transmission,site page retrieved 2026-08-24,Previous How to Play the Game; next Always,,
P046,Always,https://lettersfortitles.com/always/,code / solar recurrence,full-resolution transcription completed 2026-08-29,BEING ENDLESS from twelve solar-disc coordinates,,
P047,X≠Y≠Z: Settlers,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-settlers/,dialogue / game and battle,site page retrieved 2026-08-24,Previous Always; next Sitting to Battle,,
P048,Stanza 16: Sun,https://lettersfortitles.com/sun/,rune stanza / Sigel,site archive and adjacent-link evidence retrieved 2026-08-24,Previous Translating Sigel; next Stanza 14 The Game,,
P049,Eoh glyph,https://lettersfortitles.com/%E1%9B%87/,rune glyph / Eoh,site archive and adjacent-link evidence retrieved 2026-08-24,Previous Stanza 14 The Game; next Tiw glyph,,
P050,Tiw glyph,https://lettersfortitles.com/%E1%9B%8F/,rune glyph / Tiw,site page evidence retrieved 2026-08-24,Previous Eoh glyph; next Rune Casting Tiw,,
P051,Rune Casting: Tiw,https://lettersfortitles.com/rune-casting-tiw/,divination / Tiw,site archive evidence retrieved 2026-08-24,Trust guidance through darkness,,
P052,Rune Casting: Eoh,https://lettersfortitles.com/rune-casting-eoh/,divination / Eoh,site archive and adjacent-link evidence retrieved 2026-08-24,Trust support and gathering home,,
P053,How to Travel by Night,https://lettersfortitles.com/how-to-travel-by-night/,instruction manual / Trust,site page retrieved 2026-08-24,Previous Rune Casting Eoh; next Eo is for Eorl,,
P054,Eo is for Eorl,https://lettersfortitles.com/eo-is-for-eorl/,alphabet / historiography,site page retrieved 2026-08-24,Previous How to Travel by Night; next It Never Deceives,,
P055,It Never Deceives,https://lettersfortitles.com/it-never-deceives/,code / Trust,full-resolution transcription completed 2026-08-29,WHAT DID from seven directional-needle coordinates; deliberate incompletion retained,,
P056,Mars glyph,https://lettersfortitles.com/%E2%99%82%EF%B8%8E/,planetary glyph / Tiw,site category and indexed page evidence retrieved 2026-08-24,Previous It Never Deceives; next Trust,,
P057,Trust,https://lettersfortitles.com/trust/,chapter orientation,site category and indexed page evidence retrieved 2026-08-24,Yew timescale and dependable Tiw,,
P058,Kings,https://lettersfortitles.com/kings/,historical / theological composition,site page and indexed page evidence retrieved 2026-08-24,Previous Trust; next X≠Y≠Z A Joy in the Home,,
P059,X≠Y≠Z: A Joy in the Home,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-a-joy-in-the-home/,dialogue / home and danger,site category and indexed page evidence retrieved 2026-08-24,Previous Kings; next T is for Thincso,,
P060,T is for Thincso,https://lettersfortitles.com/t-is-for-thincsus/,alphabet / historiography,site page retrieved 2026-08-24,Displayed title and canonical slug differ,,
P061,How to Make Poison,https://lettersfortitles.com/how-to-make-poison/,instruction manual / Eoh,site indexed page evidence retrieved 2026-08-24,Previous T is for Thincso; next Translating Tiw,,
P062,Translating Tiw,https://lettersfortitles.com/translating-tiw/,translation / Tiw,site indexed page evidence retrieved 2026-08-24,Previous How to Make Poison; next Translating Eoh,,
P063,Translating Eoh,https://lettersfortitles.com/translating-yew/,translation / Eoh,site indexed page evidence retrieved 2026-08-24,Previous Translating Tiw; next Stanza 13 Yew,,
P064,Stanza 13: Yew,https://lettersfortitles.com/stanza-13-yew/,rune stanza / Eoh,site category and indexed page evidence retrieved 2026-08-24,Previous Translating Eoh; next Stanza 17 Tiw,,
P065,Stanza 17: Tiw,https://lettersfortitles.com/stanza-17-tiw/,rune stanza / Tiw,site category and adjacent-link evidence retrieved 2026-08-24,Previous Stanza 13 Yew; next Sigel glyph,,
P066,Ger glyph,https://lettersfortitles.com/%E1%9B%84/,rune glyph / Ger,site page retrieved 2026-08-24,Previous Stanza 19 War Horse; next Beorc glyph,,
P067,Beorc glyph,https://lettersfortitles.com/%E1%9B%92/,rune glyph / Beorc,site category and indexed page evidence retrieved 2026-08-24,Tree-like carving with two budding forms,,
P068,Rune Casting: Ger,https://lettersfortitles.com/rune-casting-ger/,divination / Ger,site category and indexed page evidence retrieved 2026-08-24,Returning abundance requires action,,
P069,Rune Casting: Beorc,https://lettersfortitles.com/rune-casting-beorc/,divination / Beorc,site category and indexed page evidence retrieved 2026-08-24,Undesired fruit may still feed; uprightness remains flexible,,
P070,How to Calculate a New Year,https://lettersfortitles.com/how-to-calculate-a-new-year/,instruction manual / Ger,site category and indexed page evidence retrieved 2026-08-24,Linear calculation encounters nonlinear temporality,,
P071,B is for Beginning,https://lettersfortitles.com/b-is-for-beginning/,alphabet / cosmological poem,site category and indexed page evidence retrieved 2026-08-24,Beginning expansion contraction and string theory,,
P072,Bright Fruits,https://lettersfortitles.com/bright-fruits/,code / The Future,full-resolution transcription completed 2026-08-29,FEAR AND HOPE from eleven paired berry-cluster coordinates,,
P073,Twigs for Divination,https://lettersfortitles.com/twigs-for-divination/,divination / I Ching,site page retrieved 2026-08-24,Hexagram 61 changes to 9,,
P074,The Future,https://lettersfortitles.com/the-future/,chapter orientation,site category and indexed page evidence retrieved 2026-08-24,Collective time abundance scarcity and cultural personality,,
P075,X≠Y≠Z: Divination,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-divination/,dialogue / divination,site category and adjacent-link evidence retrieved 2026-08-24,Three suspicious voices seek access to the future,,
P076,Ge is for Prefix,https://lettersfortitles.com/ge-is-for-prefix/,alphabet / philology,site page retrieved 2026-08-24,Togetherness fidelity figurative change and favorable time,,
P077,Y is for Year's Mind,https://lettersfortitles.com/y-is-for-years-mind/,alphabet / memorial address,site page retrieved 2026-08-24,Calendar grief foreknowledge and recurrence collapse into now,,
P078,How to Eat a Birch Tree,https://lettersfortitles.com/how-to-eat-a-birch-tree/,instruction manual / Beorc,site category and indexed page evidence retrieved 2026-08-24,Late-winter survival and renewed growth; preparation detail omitted,,
P079,Translating Ger,https://lettersfortitles.com/translating-ger/,translation / Ger,site category and indexed page evidence retrieved 2026-08-24,Season fruit blossom solar reckoning and divine gift,,
P080,Translating Beorc,https://lettersfortitles.com/translating-beorc/,translation / Beorc,site category and indexed page evidence retrieved 2026-08-24,Tree riddle prophetic twigs and Tacitus claim,,
P081,Stanza 18: Birch,https://lettersfortitles.com/birch/,rune stanza / Beorc,site page retrieved 2026-08-24,Previous Translating Beorc; next Stanza 12 Year,,
P082,Eh glyph,https://lettersfortitles.com/%E1%9B%96/,rune glyph / Eh,site page retrieved 2026-08-24,Previous Stanza 10 Need; next Is glyph,,
P083,Is glyph,https://lettersfortitles.com/%E1%9B%81/,rune glyph / Is,site category and indexed page evidence retrieved 2026-08-24,Ice-line carving and I/Y sound relation,,
P084,Rune Casting: Eh,https://lettersfortitles.com/rune-casting-eh/,divination / Eh,site category and indexed page evidence retrieved 2026-08-24,Gather speak listen and prepare under threat,,
P085,Rune Casting: Is,https://lettersfortitles.com/rune-casting-is/,divination / Is,site category and indexed page evidence retrieved 2026-08-24,Cooling hostilities and preparing for scarcity,,
P086,How to Listen to a Horse,https://lettersfortitles.com/how-to-listen-to-a-horse/,instruction manual / Eh,site category and indexed page evidence retrieved 2026-08-24,Horse augury staged through Tacitus and Agricola,,
P087,I is for Iceland Spar,https://lettersfortitles.com/i-is-for-iceland-spar/,alphabet / navigation,site category and indexed page evidence retrieved 2026-08-24,Polarized light as orientation under cloud,,
P088,Friþ,https://lettersfortitles.com/frith/,code / War and Peace,full-resolution transcription completed 2026-08-29,PEACE from five two-row snowflake coordinate groups,,
P089,How to Stab Somebody with an Icicle,https://lettersfortitles.com/how-to-stab-somebody-with-an-icicle/,instruction manual / Is,site category and indexed page evidence retrieved 2026-08-24,Satirical procedural violence; operational details omitted,,
P090,War and Peace,https://lettersfortitles.com/war-and-peace/,chapter orientation,site page retrieved 2026-08-24,War horse halted by ice and winter logistics,,
P091,Hildegicel,https://lettersfortitles.com/hildegicel/,auxiliary translation / war-icicle,site page retrieved 2026-08-24,Beowulf blood feud giant sword and melting ice,,
P092,X≠Y≠Z: Y,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-y/,dialogue / banishment,site page retrieved 2026-08-24,Y is iced out and X gains peace through exclusion,,
P093,E is for ⁊,https://lettersfortitles.com/e-is-for-%E2%81%8A/,alphabet / abbreviation,site category and indexed page evidence retrieved 2026-08-24,Tironian et copying tired hands and conjunction,,
P094,How to Change the World,https://lettersfortitles.com/stirrup/,instruction manual / technology,site category and indexed page evidence retrieved 2026-08-24,Stirrup leverage warfare and social transformation,,
P095,Translating Eh,https://lettersfortitles.com/translating-eh/,translation / Eh,site category and indexed page evidence retrieved 2026-08-24,Horse culture mobility communication status and war,,
P096,Translating Is,https://lettersfortitles.com/translating-is/,translation / Is,site category and indexed page evidence retrieved 2026-08-24,Winter hazard scarcity stillness beauty and mortality,,
P097,Stanza 11: Ice,https://lettersfortitles.com/stanza-11-ice/,rune stanza / Is,site category and indexed page evidence retrieved 2026-08-24,Previous Translating Is; next Stanza 19 War Horse,,
P098,Stanza 19: War Horse,https://lettersfortitles.com/stanza-19-war-horse/,rune stanza / Eh,site category and adjacent-link evidence retrieved 2026-08-24,Previous Stanza 11 Ice; next Ger glyph,,
P099,Mann glyph,https://lettersfortitles.com/%E1%9B%97/,rune glyph / Mann,site page retrieved 2026-08-24,Previous Stanza 21 Sea; next Nyd glyph,,
P100,Nyd glyph,https://lettersfortitles.com/%E1%9A%BE/,rune glyph / Nyd,site page retrieved 2026-08-24,Previous Mann glyph; next Rune Casting Mann,,
P101,Rune Casting: Mann,https://lettersfortitles.com/rune-casting-mann/,divination / Mann,site page retrieved 2026-08-24,Present kin-love under certain death,,
P102,Rune Casting: Nyd,https://lettersfortitles.com/rune-casting-nyd/,divination / Nyd,site page retrieved 2026-08-24,Previous Rune Casting Mann; next How to Hold it Together,P021,
P103,How to Hold it Together,https://lettersfortitles.com/how-to-hold-it-together/,instruction manual / Fate,site page retrieved 2026-08-24,Relational consequence mortality and action,,
P104,N is for ‘N,https://lettersfortitles.com/n-is-for-n/,alphabet / code,site page retrieved 2026-08-24,Opaque code preserved without solution,,
P105,X≠Y≠Z: Letter,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-letter/,letter / remembered need,site category and adjacent-link evidence retrieved 2026-08-24,X promises recognition and help,,
P106,Life and Death,https://lettersfortitles.com/life-and-death/,cross-rune translation,site page retrieved 2026-08-24,Wealth Human Grave and Need lexical-material crossing,,
P107,Fate,https://lettersfortitles.com/fate/,chapter orientation,site page retrieved 2026-08-24,Wyrd gods human discernment change and death,,
P108,ꝥ,https://lettersfortitles.com/%EA%9D%A5/,scribal abbreviation / translation,site page retrieved 2026-08-24,Grammalogue for that under copying constraints,,
P109,You Knew it Beforehand,https://lettersfortitles.com/you-knew-it-beforehand/,code / mortality / rebus,full-resolution transcription completed 2026-08-30,WHAT DO YOU KNOW? plus displayed AFTER NO LIFE DEATH; semantic clause order graded separately,,
P110,M is for Mortality,https://lettersfortitles.com/m-is-for-mortality/,alphabet / verse,site category evidence retrieved 2026-08-24,Rhymed ontology ethics and factual mortality,,
P111,How to Listen Beforehand,https://lettersfortitles.com/how-to-listen-beforehand/,instruction manual / divination,site category evidence retrieved 2026-08-24,Signals omens tense heart and advance attention,,
P112,Translating Nyd,https://lettersfortitles.com/translating-nyd/,translation / Nyd,site category and prior page evidence retrieved 2026-08-24,Hægl adjacency and staccato need,,
P113,Translating Mann,https://lettersfortitles.com/translating-mann/,translation / Mann,site category evidence retrieved 2026-08-24,Gender-inclusive Human as explicit choice,,
P114,Stanza 20: Human,https://lettersfortitles.com/human/,rune stanza / Mann,site page retrieved 2026-08-24,Previous Translating Mann; next Stanza 10 Need,,
P115,Stanza 10: Need,https://lettersfortitles.com/stanza-10-need/,rune stanza / Nyd,site page retrieved 2026-08-24,Previous Stanza 20 Human; next Eh glyph,P027,
P116,Lagu glyph,https://lettersfortitles.com/%E1%9B%9A/,rune glyph / Lagu,Joy next-link and live category order retrieved 2026-08-24,Previous Stanza 8 Joy; next Hægl glyph,,
P117,Hægl glyph,https://lettersfortitles.com/%E1%9A%BB/,rune glyph / Hægl,site category evidence retrieved 2026-08-24,Lateral Lagu gives way to breath and friction,,
P118,Rune Casting: Hægl,https://lettersfortitles.com/rune-casting-haegl/,divination / Hægl,site category evidence retrieved 2026-08-24,Sudden ruin impermanence and melt,,
P119,Rune Casting: Lagu,https://lettersfortitles.com/rune-casting-lagu/,divination / Lagu,site category evidence retrieved 2026-08-24,Tempest directionlessness duration and lack of control,,
P120,How to Survive a Tornado,https://lettersfortitles.com/how-to-survive-a-tornado/,instruction manual / Water Cycle,site category evidence retrieved 2026-08-24,Satirical survival address; planning listening debris and panic,,
P121,H is for Hægl,https://lettersfortitles.com/h-is-for-haegl/,alphabet / verse,site category evidence retrieved 2026-08-24,God dream selfhood absence and whirlwind,,
P122,X≠Y≠Z: (X+Y)-Z=(X-Y)÷Z,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-xy-z-y-x%C3%B7z/,dialogue / equation,site category evidence retrieved 2026-08-24,Carrying intelligence dismissal dependence and argument,,
P123,A Horrible Wonder,https://lettersfortitles.com/a-horrible-wonder/,auxiliary translation / Water Cycle,site category evidence retrieved 2026-08-24,Beowulf mere fire-water depth death storm and mourning,,
P124,The Water Cycle,https://lettersfortitles.com/the-water-cycle/,chapter orientation,site category evidence retrieved 2026-08-24,Weather exposure hail sea danger storm and calm water,,
P125,Soon After it Becomes Water,https://lettersfortitles.com/soon-after-it-becomes-water/,code / transformation,full-resolution transcription completed 2026-08-30,SO LET US MELT from eleven melting-ice coordinates,,
P126,H is for Hwat is it,https://lettersfortitles.com/h-is-for-hwat-is-it/,alphabet / verse,site category evidence retrieved 2026-08-24,Death earth melt mourning and unstable is,,
P127,L is for Letters for Titles,https://lettersfortitles.com/l-is-for-letters-for-titles/,alphabet / meta-composition,site category evidence retrieved 2026-08-24,Forward writing backward linking mirror and compositional streams,P012,
P128,How to Go Overboard,https://lettersfortitles.com/how-to-go-overboard/,instruction manual / biblical satire,site category evidence retrieved 2026-08-24,Jonah divine pursuit wreck lots whale and wail,,
P129,Translating Lagu,https://lettersfortitles.com/translating-lagu/,translation / Lagu,site category evidence retrieved 2026-08-24,Fear-stretched time unstable boat violent sea and unbridled sea-horse,,
P130,Translating Hægl,https://lettersfortitles.com/deus-absconditus/,translation / Hægl,site category evidence retrieved 2026-08-24,Hægl-Nyd adjacency short staccato form and hidden deity,,
P131,Stanza 9: Hail,https://lettersfortitles.com/hail/,rune stanza / Hægl,site page retrieved 2026-08-24,Previous Translating Hægl; next Stanza 21 Sea,P028,
P132,Stanza 21: The Sea,https://lettersfortitles.com/the-sea/,rune stanza / Lagu,site category and Mann previous-link evidence retrieved 2026-08-24,Previous Stanza 9 Hail; next Mann glyph,,
P133,Ing glyph,https://lettersfortitles.com/%E1%9B%9D/,rune glyph / Ing,site category archive and indexed adjacent-link evidence retrieved 2026-08-24,Previous Stanza 23 Home; next Wyn glyph,,
P134,Wyn glyph,https://lettersfortitles.com/%E1%9A%B9/,rune glyph / Wyn,site category archive and indexed adjacent-link evidence retrieved 2026-08-24,Previous Ing glyph; next Rune Casting Ing,,
P135,Rune Casting: Ing,https://lettersfortitles.com/rune-casting-ing/,divination / Ing,live category and indexed page evidence retrieved 2026-08-24,Departed benefactor scarcity remaining goods work and trajectory,,
P136,Rune Casting: Wyn,https://lettersfortitles.com/rune-casting-wyn/,divination / Wyn,live category and indexed adjacent-link evidence retrieved 2026-08-24,Fortress security abundance privilege exclusion and anxiety,P024,
P137,How to Skip Town,https://lettersfortitles.com/how-to-skip-town/,instruction manual / Prosperity,live category and indexed page evidence retrieved 2026-08-24,Flight portable wealth futurity regret identity and survival,,
P138,Ing is for Scylding,https://lettersfortitles.com/ing-is-for-scylding/,alphabet / auxiliary translation,live category and indexed page evidence retrieved 2026-08-24,God Scyld ship burial ring giver weapons armor treasure and burial goods,,
P139,W is for Ƿ,https://lettersfortitles.com/w-is-for-%C6%BF/,alphabet / wyn gate,live category and indexed page evidence retrieved 2026-08-24,P and wyn distinction through orthographic and phonetic play,,
P140,X≠Y≠Z: No Z,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-no-z/,dialogue / banishment,live category and X Y Z archive evidence retrieved 2026-08-24,Exile blame reputation mirror truth God and persistent voice,,
P141,Prosperity,https://lettersfortitles.com/prosperity/,chapter orientation,live category and indexed page evidence retrieved 2026-08-24,Matched pair fold divine address abundance market town and fortified joy,,
P142,Bliss,https://lettersfortitles.com/bliss/,code / mixed joy and sorrow,live category and Code archive evidence retrieved 2026-08-24,Opaque code with inseparable toil pleasure sorrow and joy,,
P143,All in All,https://lettersfortitles.com/all-in-all/,code / gift and wall,live category and Code archive evidence retrieved 2026-08-24,Opaque code with total giving heart wall and outermost,,
P144,Ing is for Nerþus,https://lettersfortitles.com/ing-is-for-nerthus/,alphabet / theological history,live page and category archive retrieved 2026-08-24,Ing Yngvi Freyr Nerthus gender cart fertility peace bath and death,,
P145,How to be Happy,https://lettersfortitles.com/how-to-be-happy/,instruction manual / alchemical satire,live category and Instruction Manual archive evidence retrieved 2026-08-24,Wealth misery bodily transformation astrology and unsafe alchemical recipe,,
P146,Translating Wyn,https://lettersfortitles.com/translating-wyn/,translation / Wyn,live category and Translation archive evidence retrieved 2026-08-24,Grammalogue suffix joy woe fortified town and Kafka burrow,,
P147,Translating Ing,https://lettersfortitles.com/translating-ing/,translation / Ing,live category and Translation archive evidence retrieved 2026-08-24,Mystery East Danes migration names lineage and departure,P030,
P148,Stanza 22: Ing,https://lettersfortitles.com/ing/,rune stanza / Ing,live page and category archive retrieved 2026-08-24,Previous Translating Ing; next Stanza 8 Joy,,
P149,Stanza 8: Joy,https://lettersfortitles.com/stanza-8-joy/,rune stanza / Wyn,live page and adjacent-link evidence retrieved 2026-08-24,Previous Stanza 22 Ing; next Lagu glyph,,
P150,Gifu glyph,https://lettersfortitles.com/%E1%9A%B7/,rune glyph / Gifu,direct Light stanza navigation correction retrieved 2026-08-26,Previous Stanza 6 Torch; next Eþel glyph,,
P151,Eþel glyph,https://lettersfortitles.com/%E1%9B%9F/,rune glyph / Eþel,live category and indexed page evidence retrieved 2026-08-25,Gifu under a roof; next Rune Casting Gifu,,
P152,Rune Casting: Gifu,https://lettersfortitles.com/rune-casting-gifu/,divination / Gifu,live category and Rune Casting archive evidence retrieved 2026-08-25,Exile mercy sustaining help and gift,,
P153,Rune Casting: Eþel,https://lettersfortitles.com/rune-casting-ethel/,divination / Eþel,live category and Rune Casting archive evidence retrieved 2026-08-25,Home assembly judgement speech and inspiration,,
P154,How to Summon an Angel,https://lettersfortitles.com/how-to-summon-an-angel/,instruction manual / theological satire,live category and indexed page evidence retrieved 2026-08-25,Duration phenomenal flux language direction and presence,,
P155,G is for Go,https://lettersfortitles.com/g-is-for-go/,alphabet / exile anatomy,live category and indexed page evidence retrieved 2026-08-25,Banishment signs gesture analysis and irreducible rupture,,
P156,Present,https://lettersfortitles.com/present/,code / gift and time,live category evidence plus full-resolution plate retrieved through primary media 2026-08-28,Gift-stave coordinates mechanically read YOU HAVE NOTHING ELSE,,
P157,I Sing This Wretched Song,https://lettersfortitles.com/i-sing-this-wretched-song/,translation / cross-rune verse,live category and Translation archive evidence retrieved 2026-08-25,Wife's Lament departure need kin separation grove and exile,,
P158,You Have Nothing Else,https://lettersfortitles.com/you-have-nothing-else/,chapter orientation,live category and indexed page evidence retrieved 2026-08-25,Folded Gift-Home pair peoplehood dignity support wilderness and exile,,
P159,X≠Y≠Z: Z's Lament,https://lettersfortitles.com/x%E2%89%A0y%E2%89%A0z-zs-lament/,dialogue / lyric exile,live category and indexed page evidence retrieved 2026-08-25,Excluded Z voice drift unanswered cause gift and rift,,
P160,Gift Riddle,https://lettersfortitles.com/gift-riddle/,riddle / code,live page and category evidence retrieved 2026-08-25,Intangible possession giving without depletion and non-purchase,,
P161,Œ is for Œdipean Riddle,https://lettersfortitles.com/oe-is-for-oedipean-riddle/,alphabet / riddle / Rune Code,live page and full-resolution carrier inspected 2026-08-30,A TWIN / SUN / DAY from eleven ray coordinates; reciprocal-birth riddle retained separately,,
P162,How to Banish Family,https://lettersfortitles.com/how-to-banish-family/,instruction manual / satire,live category evidence retrieved 2026-08-25,Family severance alphabet reform Franklin and estrangement,,
P163,Translating Eþel,https://lettersfortitles.com/translating-ethel/,translation / Eþel,live category and Translation archive evidence retrieved 2026-08-25,Tempo chain return home as beginning and end and Ing narrative,,
P164,Translating Gifu,https://lettersfortitles.com/translating-gifu/,translation / Gifu,live category and Translation archive evidence retrieved 2026-08-25,Gift economy ornament honor worth memory exile and sustenance,,
P165,Stanza 7: Gift,https://lettersfortitles.com/gift/,rune stanza / Gifu,Stanzas archive and live category evidence retrieved 2026-08-25,Previous Translating Gifu; next Stanza 23 Home,,
