claim_id,claim,claimant,evidence_location,evidence_class,current_assessment,next_check
C027,The exact two-path arrangement observed at the middle repeats unchanged in the adjacent chapter,no claimant,turn comparison,negative corpus finding,rejected by first comparison,test Trust before proposing a broader grammar
C028,S is for Saxon rejects the fiction of a racially homogeneous Anglo-Saxon people and situates the author's research as battle,site author,S is for Saxon,primary-site historiographic claim,recorded,check cited historical sources and bibliography
C029,P is for Poetry treats Old English poetry as sung and potentially martial or augural rather than merely entertaining,site author,P is for Poetry,primary-site interpretive and historical claim,recorded not independently adjudicated,check Tacitus passage and music scholarship
C030,The sun is both hoped-for navigational aid and a source of instability or menace within the chapter,site pages,How to Navigate by the Sun Translating Sigel and Always,primary-site compositional relation,strongly supported,preserve the different speakers and source frames
C031,L-a's missing letters and Peorþ's central missing word are the same compositional device,corpus inference,L-a and Translating Peorð,cross-page working inference,open not established,do not repair either gap; seek explicit site relation
C032,X≠Y≠Z: Settlers turns a resource game into accusation rage quitting and a battle with multiple losers,site author,X≠Y≠Z: Settlers,primary-site dramatic composition,recorded,preserve X Y Z as distinct voices
C033,Mystery Wyrm is site-authored evidence,no claimant,user-supplied asset and provenance record,evidence-boundary claim,rejected,keep asset outside site registers unless provenance changes
C034,The page after Translating Sigel is Stanza 16 Sun followed by Stanza 14 The Game and the Eoh glyph,corpus observation,Sitting to Battle category order and adjacent previous-next evidence,primary-site navigation,strongly supported locally,preserve the mixed acquisition basis
C035,The Trust category forms a seventeen-page braid from the Eoh glyph through Stanza 17 Tiw,corpus observation,Trust category and previous-next links,primary-site navigation,strongly supported locally,capture exact dates and incoming links
C036,Trust and Sitting to Battle form a local 34-page navigation circuit,corpus observation,the two resolved cross-chapter seams,primary-site navigation,verified locally,test whether later chapters form comparable circuits
C037,Two adjacent paired chapters support an envelope of paired glyphs castings mixed interior translations and stanzas,corpus inference,chapter braid comparison,comparative working hypothesis,provisional not general,reconstruct The Future as falsification test
C038,Trust is inert permanence or simple reassurance,no claimant,Trust chapter braid and page content,reductive inference,rejected,retain motion danger law poison deity evidence and betrayal
C039,Eoh and Tiw form a simple stillness versus motion opposition,no claimant,Trust page path,reductive pair inference,rejected,the yew moves across a longer timescale and Tiw is dependable while moving
C040,Kings treats Tiw Ing Odin the heaven king and sacred trees as divine presences in a mixed religious field,site author,Kings,primary-site theological and historical claim,recorded without reduction,check the cited historical sources without translating away deity
C041,T is for Thincso distinguishes surviving evidence from speculative connection,site author,T is for Thincso,primary-site methodological composition,strongly supported,check inscriptions Tacitus and Frisian legal sources
C042,How to Travel by Night presents a tradeoff between local torchlit clarity and longer-range perception,site author,How to Travel by Night,primary-site operative claim,recorded,check astronomy and navigation claims separately
C043,The yew is simultaneously sheltering useful toxic ancient and grave-associated across the Trust pages,site pages,Trust Translating Eoh How to Make Poison and stanza 13,primary-site compositional relation,strongly supported,preserve material specificity and check botanical historical sources
C044,The Future category forms a seventeen-page braid from the Ger glyph through Stanza 12 Year,corpus observation,The Future category and previous-next links,primary-site navigation,strongly supported locally,resolve the outgoing link after Stanza 12 Year
C045,A third paired chapter preserves the glyph-casting-interior-translation-stanza envelope,corpus inference,chapter braid comparison,comparative working hypothesis,supported but not universal,reconstruct War and Peace and continue attempted falsification
C046,The Future locates futurity in seasonal recurrence divine fruition divination memory grief and present action,site pages,The Future chapter braid,primary-site compositional relation,strongly supported,preserve differences among theology philology divination and memorial address
C047,Stanza 12 Year assigns fruition to God and the holy king of heaven,site author,Stanza 12 Year,primary-site theological claim,recorded without reduction,compare translation and cited textual sources
C048,A society cannot exist without a collective understanding of time,site author,The Future,primary-site philosophical claim,recorded not independently adjudicated,compare the page's supporting sources without converting the claim into corpus fact
C049,The Old English ge prefix links togetherness fidelity figurative change and favorable time,site author,Ge is for Prefix,primary-site philological claim,recorded not independently adjudicated,check historical dictionaries and cited sources
C050,Multiple astronomical definitions of a year remain changing and cannot pin recurrence to one fixed measure,site author,Y is for Year's Mind,primary-site astronomical and memorial claim,recorded with mixed warrant,check astronomical values separately from the page's memorial argument
C051,X Y and Z seek the future through distinct divinatory practices while doubt about agency remains active,site author,X≠Y≠Z Divination,available category-page dramatic composition,recorded with bounded source gap,preserve the voices; reopen only if direct page retrieval becomes available
C052,The page after Stanza 12 Year can be supplied from the reflected chapter pattern,corpus inference,failed direct retrieval and neighboring structure,unsupported completion,rejected,resolve the live link before recording a seam or circuit
C053,Bright Fruits can be solved from its place inside the chapter,corpus inference,Bright Fruits and chapter pattern,unsupported code solution,rejected as method; later carrier reading independent,the full-resolution berry coordinates now support C227
C054,The page after Stanza 12 Year is the Eoh glyph,corpus observation,Stanza 12 Year next-page link,primary-site navigation,verified locally,record the Future-to-Trust seam
C055,The Future and War and Peace form a reciprocal 34-page circuit,corpus inference,resolved Year-side seam,comparative hypothesis,rejected,replace with the observed asymmetric chain
C056,War and Peace forms a seventeen-page braid from the Eh glyph through Stanza 19 War Horse,corpus observation,War and Peace category and previous-next links,primary-site navigation,strongly supported locally,retain the mixed acquisition basis
C057,A fourth paired chapter preserves the glyph-casting-interior-translation-stanza envelope,corpus inference,chapter braid comparison,comparative working hypothesis,supported but not universal,reconstruct Fate and continue attempted falsification
C058,Ice produces peace by materially limiting winter warfare,site author,War and Peace,primary-site historical-interpretive claim,recorded not independently adjudicated,check seasonal warfare logistics and horse provisioning
C059,Eh and Is form a simple motion versus stillness opposition,no claimant,War and Peace chapter braid,reductive pair inference,rejected,retain speech beauty divination exile mortality and technological change
C060,Horse augury was highly credited among the peoples described by Tacitus,site author,How to Listen to a Horse,primary-site historical and divinatory claim,recorded not independently adjudicated,check Germania translation and framing
C061,Iceland spar can reveal solar direction through polarized light under cloud,site author,I is for Iceland Spar,primary-site optical and historical claim,recorded not independently adjudicated,check optical physics and Rauðúlfs þáttr scholarship
C062,The stirrup transformed warfare society and belief,site author,How to Change the World,primary-site technological-historical claim,recorded not independently adjudicated,compare current stirrup scholarship and Brunanburh source
C063,Hildegicel is a Beowulf hapax meaning war-icicle,site author,Hildegicel,primary-site philological claim,recorded not independently adjudicated,check Beowulf lexica edition and translation
C064,Y's banishment creates peace by releasing pressure for X,site author,X≠Y≠Z Y,primary-site dramatic composition,strongly supported,preserve that this peace is purchased by exclusion
C065,Friþ can be solved from the chapter's peace pattern,corpus inference,Friþ and chapter pattern,unsupported code solution,rejected as method; later carrier reading independent,the full-resolution snowflake coordinates now support C228
C066,The violent instructions on the icicle page should be reproduced as practical guidance,no claimant,How to Stab Somebody with an Icicle,unsafe reductive use,rejected,retain only rights-respecting non-operational description
C067,Fate forms a seventeen-page braid from the Mann glyph through Stanza 10 Need,corpus observation,Fate category and previous-next links,primary-site navigation,strongly supported locally,retain the live category and page acquisition basis
C068,A fifth paired chapter preserves the glyph-casting-interior-translation-stanza envelope,corpus inference,chapter braid comparison,comparative working hypothesis,supported but not universal,reconstruct The Water Cycle and continue attempted falsification
C069,Stanza 21 The Sea enters the Mann glyph,corpus observation,Mann glyph previous-page link,primary-site navigation,verified locally,record the Water-Cycle-to-Fate seam
C070,Fate is either fixed predestination or unrestricted personal choice,no claimant,Fate chapter,reductive binary,rejected,preserve gods wyrd circumstance discernment action and death as distinct
C071,Mann in the Rune Poem names a male person,common modernizing assumption,Translating Mann,translation claim,rejected by site reading,check Old English usage while preserving the site's gender-inclusive choice
C072,Wealth and Human share eight lexical items and form an ethical relation through distribution need honor and death,site author,Life and Death,primary-site philological and ethical claim,recorded not independently adjudicated,verify word counts morphology and translations
C073,ꝥ is an economical grammalogue for that used in the Human and Aurochs stanzas,site author,ꝥ,primary-site paleographic claim,recorded not independently adjudicated,check manuscript facsimile and diplomatic transcription
C074,N is for ‘N can be solved from Pitman tags or chapter position,corpus inference,N is for ‘N,unsupported code solution,rejected,preserve as opaque until page-specific evidence warrants a reading
C075,You Knew it Beforehand can be solved from the chapter's mortality pattern,corpus inference,You Knew it Beforehand,unsupported code solution,rejected as method; complete carrier later resolved,carrier evidence now supports C229 C233 and C234 while displayed and semantic order remain distinct
C076,The Water Cycle forms a seventeen-page braid from the Lagu glyph through Stanza 21 The Sea,corpus observation,Water Cycle category and adjacent links,primary-site navigation,strongly supported locally,retain the live category stanza and seam evidence
C077,A sixth paired chapter preserves the glyph-casting-interior-translation-stanza envelope,corpus inference,chapter braid comparison,comparative working hypothesis,supported but not universal,reconstruct Prosperity and continue attempted falsification
C078,Stanza 8 Joy enters the Lagu glyph,corpus observation,Stanza 8 Joy next-page link,primary-site navigation,verified locally,record the Prosperity-to-Water-Cycle seam
C079,The verified topology extends from Prosperity through The Water Cycle into Fate and onward to the Trust-Sitting circuit,corpus inference,resolved adjacent-page links,comparative navigation,strongly supported,do not infer Prosperity's internal braid or incoming boundary from the seam alone
C080,Hægl and Nyd compress twelve stresses into two lines and therefore demand a faster performance,site author,Translating Hægl,primary-site formal claim,recorded not independently adjudicated,verify lineation stress counts and performance inference
C081,The Water Cycle is a reassuring symbol in which destruction is simply redeemed by recurrence,no claimant,Water Cycle braid,reductive interpretation,rejected,preserve drowning divine pursuit fire-water grief quarrel and survival alongside calm
C082,Soon After it Becomes Water can be solved from the chapter's melt pattern,corpus inference,Soon After it Becomes Water,unsupported code solution,rejected as method,page-specific carrier evidence now supports C232 independently of chapter position
C083,Letters for Titles was written forward in real time while linking backward in a retrospective mirrored arrangement across multiple compositional streams,site author,L is for Letters for Titles,primary-site structural claim,recorded and supported by reconstructed paths,continue testing against outer chapters and publication dates
C084,How to Go Overboard frames Jonah's flight through a deity present on both land and sea,site author,How to Go Overboard,primary-site theological composition,recorded,preserve divine agency before translating the page into psychology or satire
C085,Rune Poem singers lived with materially greater exposure to weather than climate-controlled modern readers,site author,The Water Cycle,primary-site historical claim,recorded not independently adjudicated,check settlement archaeology and environmental history
C086,A Horrible Wonder translates the Beowulf mere as fire on flowing water and unknowable depth,site author,A Horrible Wonder,primary-site literary translation,recorded not independently adjudicated,compare cited Beowulf text and translation
C087,How to Survive a Tornado supplies authoritative emergency guidance,no claimant,How to Survive a Tornado,genre misclassification,rejected,retain as satirical procedure and verify real safety claims through authoritative sources
C088,The Hægl rune is constructed from parallel uprights crossed by two leaning lines,site author,Hægl glyph page,primary-site graphic construction,recorded not independently adjudicated,compare manuscript rune forms and page images
"C089","A seventh paired chapter preserves the glyph-casting-interior-translation-stanza envelope","corpus inference","Prosperity braid and chapter comparison","comparative working hypothesis","supported but not universal","reconstruct You Have Nothing Else and continue attempted falsification"
"C090","Stanza 23 Home enters the Ing glyph","corpus observation","Ing glyph previous-page link","primary-site navigation","verified locally","record the You Have Nothing Else-to-Prosperity seam"
"C091","The verified topology extends from You Have Nothing Else through Prosperity and the existing chain to the Trust-Sitting circuit","corpus inference","resolved adjacent-page links","comparative navigation","strongly supported","do not infer the next incoming boundary from the seam alone"
"C092","Prosperity is simply wealth plus positive feeling","no claimant","Prosperity braid","reductive interpretation","rejected","preserve deity gift work enclosure exile burial banishment wall alchemy grammar lineage and departure"
"C093","Ing can be historically identified across Yngvi-Freyr Ingun Njörðr and Nerþus","site author","Ing is for Nerþus","primary-site historical-theological claim","recorded not independently adjudicated","check Tacitus Snorri linguistic history chronology and current scholarship"
"C094","W is for Ƿ explicitly distinguishes P from ƿyn through sound and graphic play","site author","W is for Ƿ","primary-site alphabet composition","recorded","preserve the initiation distinction across transcription and display"
"C095","Ing is for Scylding presents Scyld's ship burial with body vessel weapons armor ornaments treasure companions sea and divine destination","site author","Ing is for Scylding","primary-site literary translation and composition","recorded not independently adjudicated","compare the cited Beowulf passage translation and burial evidence"
"C096","How to be Happy supplies verified safe chemistry medical or financial guidance","no claimant","How to be Happy","genre misclassification","rejected","retain as alchemical satire and do not reproduce its recipe as operational guidance"
"C097","Bliss and All in All can be decoded from their chapter positions","corpus inference","two Prosperity code pages","unsupported code solution","rejected","preserve both as opaque until page-specific evidence warrants a reading"
"C098","The opening ne of the Wyn stanza is a suffix attached to a Wyn grammalogue rather than a full negation","site author","Translating Wyn","primary-site philological claim","recorded not independently adjudicated","check manuscript form morphology and critical editions"
"C099","The East Danes and surviving Ing place-names identify the historical route and lineage of Ing","site author","Translating Ing","primary-site historical-philological claim","recorded not independently adjudicated","check chronology toponymy archaeology and migration scholarship"
"C100","The Rune Poem is poem divinatory answer divine communication and instruction manual for living","site author","Prosperity chapter page","primary-site structural-theological claim","recorded","compare this self-description across the remaining chapters"
"C101","An eighth paired chapter preserves the glyph-casting-interior-translation-stanza envelope","corpus inference","You Have Nothing Else braid and chapter comparison","comparative working hypothesis","supported but not universal","reconstruct Light and continue attempted falsification"
"C102","Stanza 24 Day enters the Gifu glyph","corpus observation","Stanzas archive order plus Gifu category boundary","superseded navigation inference","rejected by direct live links on 2026-08-26","preserve as recorded v0.11.0 error; Stanza 24 enters Stanza 6 and Stanza 6 enters Gifu"
"C103","The verified topology extends from By Land and By Sea through Light and the existing chain to the Trust-Sitting circuit","corpus inference","direct Dæg and Torch boundary links plus resolved adjacent-page links","comparative navigation","strongly supported","do not infer the next incoming boundary from the seam alone"
"C104","You Have Nothing Else is merely a symbolic lesson about generosity and belonging","no claimant","You Have Nothing Else braid","reductive interpretation","rejected","preserve exile peoplehood justice mercy memory family rupture riddles divination and theology"
"C105","The Eþel glyph is constructed by putting a roof over the Gifu glyph","site author","Eþel glyph page","primary-site graphic construction","recorded","compare page image and manuscript rune forms"
"C106","Gifu changes sound with neighboring vowels and is carved as crossed diagonal lines","site author","Gifu glyph page","primary-site phonetic and graphic claim","recorded not independently adjudicated","check Old English phonology and manuscript forms"
"C107","The Gift and Home stanzas are paired because exile reveals their shared social necessity","site author","You Have Nothing Else chapter page","primary-site structural-interpretive claim","recorded","compare the chapter page with stanza and translation evidence"
"C108","The Gift Riddle and Œdipean Riddle can be solved from their chapter positions","corpus inference","two riddle pages and category pattern","unsupported riddle solution","rejected","preserve both riddles without supplying answers from positional expectation"
"C109","How to Banish Family is neutral practical relationship guidance","no claimant","How to Banish Family","genre misclassification","rejected","retain as literary-historical satire and preserve its alphabet-family analogy"
"C110","How to Summon an Angel presents human duration and angelic phenomenal flux as different communicative languages","site author","How to Summon an Angel","primary-site theological-temporal claim","recorded without reduction","compare cited Rushdie Hrabanus and image sources"
"C111","Gifu gift exchange joins ornament honor worth remembrance mercy and sustenance","site author","Translating Gifu and Stanza 7 Gift","primary-site philological-social claim","recorded not independently adjudicated","check Old English lexica manuscript and gift-economy scholarship"
"C112","Home is beloved when assembly rests on justice and propriety and yields inspiration","site author","Stanza 23 Home and Eþel casting","primary-site translation and divinatory composition","recorded","compare manuscript translation and page imagery"
"C113","Present can be expanded into a complete doctrine from its Camus quotation and Gift placement","corpus inference","Present","unsupported code expansion","rejected","0.19.0 mechanically reads YOU HAVE NOTHING ELSE but does not license a complete doctrine"
"C114","Z's Lament continues the excluded Z voice from No Z across the Prosperity-You Have Nothing Else boundary","corpus observation","X≠Y≠Z No Z and Z's Lament","cross-chapter dramatic relation","strongly supported","preserve navigation direction and dramatic continuation as distinct"
"C115","A ninth paired chapter preserves the glyph-casting-interior-translation-stanza envelope","corpus inference","Light braid and chapter comparison","comparative working hypothesis","supported but not universal","reconstruct By Land and By Sea and continue attempted falsification"
"C116","Stanza 6 Torch enters the Gifu glyph","corpus observation","direct Stanza 6 next-page link","primary-site navigation","verified locally","record as the corrected Light-to-You Have Nothing Else seam"
"C117","Stanza 25 Oak enters the Dæg glyph","corpus observation","direct Dæg previous-page link","primary-site navigation","verified locally","record the By Land and By Sea-to-Light seam"
"C118","Light is simply illumination opposed to darkness","no claimant","Light braid","reductive interpretation","rejected","preserve day torch fire code computer archive loss privilege theology physics and predation"
"C119","Daylight benefits fortunate and wretched alike without making their conditions equal","site author","Translating Dæg and Stanza 24 Day","primary-site theological-social claim","recorded","check lexica manuscript and interpretive scholarship"
"C120","Safe interior torchlight is materially associated with elites who have room to rest beside fire","site author","Translating Cen and Stanza 6 Torch","primary-site social-material claim","recorded","check stanza wording architecture and fire practice"
"C121","The computer screen is an envoy of light that is both messenger and message feeder and consumer","site author","C is for Computer","primary-site technological composition","recorded","compare Wells Batchelor and the chapter's Dæg pages"
"C122","Contraries and Negations presents Z and metaphor as maintaining tension rather than abolishing opposed terms","site author","X≠Y≠Z Contraries and Negations","primary-site philosophical composition","recorded","compare Blake Heraclitus and the X Y Z corpus"
"C123","Night Riddle can be solved solely from its position in the Light braid","corpus inference","Night Riddle","unsupported code solution","rejected","0.18.0 plaintext comes instead from symbol-by-symbol use of the historically identified alphabet"
"C124","How to Burn it All Down and How to Burn the Cotton Library are neutral practical fire guidance","no claimant","two Light instruction pages","genre misclassification","rejected","retain as literary and historical satire without operationalizing harm"
"C125","Or are you both? supplies a complete scientific or metaphysical theory of human beings as light","corpus inference","Or are you both?","unsupported synthesis","rejected","keep electromagnetic site claim vital-spark address and open question distinct"
"C126","A tenth paired chapter preserves the glyph-casting-interior-translation-stanza envelope","corpus inference","By Land and By Sea braid and chapter comparison","comparative working hypothesis","supported but not universal","reconstruct Axis Mundi and continue attempted falsification"
"C127","Stanza 4 God enters the Ac glyph","corpus observation","direct Ac previous-page link","primary-site navigation","verified locally","record the Axis Mundi-to-By Land and By Sea seam"
"C128","Stanza 25 Oak enters the Dæg glyph","corpus observation","direct Stanza 25 next-page link","primary-site navigation","verified locally","retain the By Land and By Sea-to-Light seam with direct evidence from both sides"
"C129","By Land and By Sea is merely a symbolic opposition between movement and stability","no claimant","By Land and By Sea braid","reductive interpretation","rejected","preserve road sea oak food boat truth circulation mile Way Golem A.I. riddle ink and embodied passage"
"C130","The By Land and By Sea partner order reverses between each paired stream","corpus observation","direct seventeen-page path","comparative navigation","verified locally","retain Ac-Rad glyph Rad-Ac casting Ac-Rad translation and Rad-Ac stanza orders"
"C131","The medieval world is presented as widely mobile and culturally mixed through inherited road sea and trade networks","site author","By Land and By Sea chapter page","primary-site historical thesis","recorded not independently adjudicated","check Roman and medieval mobility archaeology isotopes genetics and trade scholarship"
"C132","The Ac stanza composes oak as aged food boat noble tree and truth tested by violent sea","site author","Translating Ac and Stanza 25 Oak","primary-site literary-philological reading","recorded not independently adjudicated","check manuscript lexica alliteration kennings shipbuilding and translation history"
"C133","Rad joins ride road mile-path hall governance official passage and bodily pain","site author","Translating Rad and Stanza 5 Ride","primary-site literary-philological reading","recorded not independently adjudicated","check manuscript lexica Roman road reuse and mile-marker evidence"
"C134","A is for Golem Aleph explicitly composes A.I. silicon creation claimed godhood Aleph and death by erasure","site author","A is for Golem Aleph","primary-site technological-theological composition","recorded without totalization","compare Gershom Scholem source image tradition and adjacent technological pages"
"C135","A is for Golem Aleph authorizes interpreting the entire corpus as an A.I. allegory","corpus inference","one Alphabet Book page","unsupported totalization","rejected","preserve the explicit local A.I. composition without displacing rune poem site theology or other streams"
"C136","The Way can be decoded solely from its Tao Te Ching tags caption and chapter position","corpus inference","The Way","unsupported code solution","rejected","0.19.0 plaintext comes from symbol counts under the Octave key rather than semantic completion"
"C137","R is for Riddle should be completed from a familiar external answer","corpus inference","R is for Riddle","unsupported imported solution","rejected","record the page's question and absence of disclosed answer"
"C138","How to Measure a Mile How to Bathe a Gannet and How to Make Ink are independently verified practical guidance","no claimant","three instruction pages","genre and warrant misclassification","rejected","retain agricultural satire absurd animal-bath satire and encoded historical recipe without certifying use"
"C139","The verified topology extends from Axis Mundi through By Land and By Sea and the existing chain to the Trust-Sitting circuit","corpus inference","direct God-to-Ac and Oak-to-Dæg links plus resolved adjacent-page links","comparative navigation","strongly supported","do not infer the next incoming boundary from the seam alone"
"C140","Thirty-six independent retrochecks four prospective Axis Mundi direct-walk tests and four same-source By Land and By Sea comparisons are consistent with archive-navigation reversal","corpus observation","braid_archive_order_audit.csv and stream registers","mechanical comparative audit with acquisition classification","verified as 36 retrochecks plus 4 prospective tests plus 4 derived","all evidence remains same-site; do not call it source-independent"
"C141","The War and Peace and By Land and By Sea category archives reverse exactly to their seventeen-page navigation braids","independent audit observation","claude_audit_v0.12.0.md","live category retrieval plus direct link checks","recorded as independent branch evidence","repeat against additional live category archives when accessible"
"C142","Publication sequence generates the observed archive-navigation reversal and partner-order variation","corpus inference","reverse archive order plus L is for Letters for Titles","temporal composition hypothesis","leading explanation pending exact post dates","capture post dates before promoting this to observed chronology"
"C143","All eleven completed paired braids have a 2+2+9+2+2 partition and the eponymous page at position 9 of 17","corpus observation","eleven chapter path files and chapter comparison","mechanical positional comparison","verified across paired sample","the Middle is an exception and three reflected pairs remain untested"
"C144","The Trust-Sitting circuit is temporally one forward seam plus one retrospective link","corpus inference","archive reversal applied to the two verified edges","dated-edge reinterpretation candidate","deferred pending exact post dates","retain the reciprocal navigation fact regardless of temporal result"
"C145","Axis Mundi will follow the archive-derived Os-Aesc intra-chapter order with a nine-page interior and position-9 eponymous hinge","corpus prediction","axis_mundi_prediction.md Prediction A and axis_mundi_path.md","prospective direct-link test","confirmed in full","retain the preregistration and result together"
"C146","The verified page register contains 219 evidence rows representing 213 unique URLs","corpus observation","verified_page_register.csv","mechanical register count","verified","use supersession fields and report row and unique counts separately"
"C147","Stanza 27 Bow links directly into the Os glyph so the observed outer chapter chain continues contiguously","corpus prediction","axis_mundi_prediction.md Prediction B and Os capture","separate prospective chain test","confirmed","retain independently from Prediction A"
"C148","The eponymous position-9 page has the Duets tag in all eleven completed paired braids","corpus inference","three directly verified tagged pages plus eight positional matches","partial tag extrapolation","verified 3 of 11 only","unverified in Sitting to Battle Trust The Future Fate The Water Cycle Prosperity You Have Nothing Else and Light"
"C149","Every one of the 194 capture canonical URLs is registered and exactly 19 registered unique URLs lack capture folders","corpus observation","verified_page_register.csv capture records and register_capture_reconciliation.csv","bidirectional set comparison","verified","keep register and capture coverage directions separate"
"C150","The separately supplied 364 by 364 single-frame JPEG is the canonical AS001 mysterywyrm.gif","cross-channel identification","AS001 manifest plus Claude review observation","format dimension and frame comparison","rejected as identity; relation of that JPEG remains undetermined","distinguish this JPEG from the live 1000 by 1000 source now mechanically matched to AS001"
"C151","The Axis Mundi category archive contains exactly the direct-walk set of seventeen pages in exact reverse order","corpus observation","axis_mundi_path.md and live category cross-check","same-site completeness and order comparison","verified","the archive was opened only after the direct walk and is not an independent witness"
"C152","Every Axis Mundi position displays a second alphabet asset descending by two without exception","corpus prediction","positions 1 through 17 media captures","prospective media-sequence test","falsified at position 11","Speech Bearer contains one article image only in served source"
"C153","After the missing position-11 slot the displayed asset sequence remains position-indexed at 112 through 102","corpus inference","positions 12 through 17 media captures","post-failure successor model","survived six consecutive observations","does not rescue C152 or establish chronology"
"C154","Truth serves U+16A8 while glossing ash","corpus observation","Truth served-source codepoint inspection","direct HTML observation","verified","preserve as site-level glyph-gloss inconsistency and do not normalize silently"
"C155","The Aesc glyph and Axis Mundi eponym state the fold in folding and end-counting formulations","corpus observation","Aesc glyph and Axis Mundi captures","two site-authored formulations","verified but not independent corroboration","retrocheck other chapters for in-voice formulations later"
"C156","Exact publication chronology as the cause of archive reversal is unresolvable by current means","corpus method conclusion","bounded REST sitemap and feed attempt in acquisition evidence","retrieval-limited non-result","closed under current means","do not repeat the same failed routes during chapter acquisition"
"C157","All twelve completed paired braids have a 2+2+9+2+2 partition and the eponymous page at position 9 of 17","corpus observation","twelve chapter path files and chapter comparison","mechanical positional comparison","verified across paired sample","the Middle is an exception and two reflected pairs remain untested"
